id
"('nm0574534', 'nm0822062')"
"('nm0234541', 'nm0891092')"
"('nm0002103', 'nm0891092')"
"('nm0574534', 'nm0181920')"
"('nm0822062', 'nm0838910')"
"('nm0002103', 'nm0234541')"
"('nm0267256', 'nm0269077')"
"('nm0000596', 'nm0001884')"
"('nm0574534', 'nm0838910')"
"('nm0203882', 'nm0891092')"
"('nm0727778', 'nm0534062')"
"('nm0838910', 'nm0734654')"
"('nm0001671', 'nm0504320')"
"('nm0891092', 'nm0269077')"
"('nm0000980', 'nm0000596')"
"('nm0002103', 'nm0891092')"
"('nm0727778', 'nm0002103')"
"('nm0727778', 'nm0891092')"
"('nm0000980', 'nm0891092')"
"('nm0002103', 'nm0001097')"
"('nm0751085', 'nm0734654')"
"('nm0269923', 'nm0838910')"
"('nm0002103', 'nm0001097')"
"('nm0538869', 'nm0231871')"
"('nm0504320', 'nm0231871')"
"('nm0727778', 'nm0574534')"
"('nm0838910', 'nm0001671')"
"('nm0891092', 'nm0001671')"
"('nm0891092', 'nm0838910')"
"('nm0000596', 'nm0004355')"
"('nm0000596', 'nm0891092')"
"('nm0000980', 'nm0000596')"
"('nm0000980', 'nm0004355')"
"('nm0000980', 'nm0891092')"
"('nm0004355', 'nm0891092')"
"('nm0389698', 'nm0568400')"
"('nm0001097', 'nm0889338')"
"('nm0004355', 'nm0001097')"
"('nm0004355', 'nm0889338')"
"('nm0570570', 'nm0734654')"
"('nm0751085', 'nm0269077')"
"('nm0002103', 'nm0570570')"
"('nm0389698', 'nm0571654')"
"('nm0000596', 'nm0004355')"
"('nm0000596', 'nm0891092')"
"('nm0004355', 'nm0891092')"
"('nm0283492', 'nm0231871')"
"('nm0538869', 'nm0928408')"
"('nm0002103', 'nm0226820')"
"('nm0000980', 'nm0544139')"
"('nm0231871', 'nm0001097')"
"('nm0226820', 'nm0928408')"
"('nm0004355', 'nm0103195')"
"('nm0004355', 'nm0570570')"
"('nm0269923', 'nm0004355')"
"('nm0269923', 'nm0103195')"
"('nm0269923', 'nm0570570')"
"('nm0269923', 'nm0727778')"
"('nm0570570', 'nm0103195')"
"('nm0727778', 'nm0004355')"
"('nm0727778', 'nm0103195')"
"('nm0727778', 'nm0570570')"
"('nm0203882', 'nm0570570')"
"('nm0891092', 'nm0269077')"
"('nm0001290', 'nm0891092')"
"('nm0181920', 'nm0001290')"
"('nm0181920', 'nm0891092')"
"('nm0574534', 'nm0231871')"
"('nm0001290', 'nm0001097')"
"('nm0265610', 'nm0001097')"
"('nm0265610', 'nm0001290')"
"('nm0538869', 'nm0226820')"
