imdb_id,title,year,id,name,character
tt1240982,Your Highness,2011.0,nm0389698,B.J. Hogg,Addam Marbrand
tt1240982,Your Highness,2011.0,nm0649046,Deobia Oparei,Areo Hotah
tt1240982,Your Highness,2011.0,nm3126053,Susie Kelly,Masha Heddle
tt1240982,Your Highness,2011.0,nm4385245,Tobias Winter,Timett
tt1240982,Your Highness,2011.0,nm0001097,Charles Dance,Tywin Lannister
tt0970411,City of Ember,2008.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0970411,City of Ember,2008.0,nm0568400,Ian McElhinney,Barristan Selmy
tt0970411,City of Ember,2008.0,nm0188871,Mackenzie Crook,Orell
tt1183487,Peacefire,2008.0,nm0389698,B.J. Hogg,Addam Marbrand
tt1183487,Peacefire,2008.0,nm0429956,Gerard Jorda,Biter
tt0986233,Hunger,2008.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0986233,Hunger,2008.0,nm0734498,Lalor Roddy,Catspaw Assassin
tt0986233,Hunger,2008.0,nm0192377,Liam Cunningham,Davos Seaworth
tt0488380,Closing the Ring,2007.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0488380,Closing the Ring,2007.0,nm0568400,Ian McElhinney,Barristan Selmy
tt0488380,Closing the Ring,2007.0,nm0064155,Ian Beattie,Meryn Trant
tt0488380,Closing the Ring,2007.0,nm3126053,Susie Kelly,Masha Heddle
tt0488380,Closing the Ring,2007.0,nm1651043,Stephen Do,Stiv
tt0907643,Give My Head Peace: Christmas Special,2006.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0907643,Give My Head Peace: Christmas Special,2006.0,nm1101680,Gordon Fulto,Lord Portan
tt0488138,Small Engine Repair,2006.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0488138,Small Engine Repair,2006.0,nm0322513,Iain Gle,Jorah Mormont
tt0456080,On Eagles Wing,2005.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0388154,Mickybo and Me,2004.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0388154,Mickybo and Me,2004.0,nm0243696,James Dora,Mandon Moore
tt0388154,Mickybo and Me,2004.0,nm0568385,Michael McElhatto,Roose Bolton
tt0388154,Mickybo and Me,2004.0,nm0516385,Tim Loane,White Walker
tt0388154,Mickybo and Me,2004.0,nm0001354,Ciarán Hind,Mance Rayder
tt0276428,Puckoon,2002.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0276428,Puckoon,2002.0,nm0233807,Richard Dormer,Beric Dondarrion
tt0249312,Rebel Heart,2001.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0249312,Rebel Heart,2001.0,nm0192377,Liam Cunningham,Davos Seaworth
tt0249312,Rebel Heart,2001.0,nm0568385,Michael McElhatto,Roose Bolton
tt0249312,Rebel Heart,2001.0,nm0371160,Michael Haye,Night's Watchman #1
tt0213344,Eureka Street,1999.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0122738,Sunset Heights,1999.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0122738,Sunset Heights,1999.0,nm0050520,Peter Ballance,Farlen
tt0122738,Sunset Heights,1999.0,nm0641433,Patrick O'Kane,Jaqen's Disguise
tt0122738,Sunset Heights,1999.0,nm0181920,James Cosmo,Jeor Mormont
tt0122738,Sunset Heights,1999.0,nm1101680,Gordon Fulto,Lord Portan
tt0130757,The Harpist,1999.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0252995,Cluck,1998.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0252995,Cluck,1998.0,nm0384152,Conleth Hill,Lord Varys
tt0127516,Divorcing Jack,1998.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0127516,Divorcing Jack,1998.0,nm0429956,Gerard Jorda,Biter
tt0127516,Divorcing Jack,1998.0,nm0568400,Ian McElhinney,Barristan Selmy
tt0127516,Divorcing Jack,1998.0,nm0734304,Paddy Rock,Knight of House Lynderly
tt0127516,Divorcing Jack,1998.0,nm0243696,James Dora,Mandon Moore
tt0127319,Titanic Town,1998.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0127319,Titanic Town,1998.0,nm0050520,Peter Ballance,Farlen
tt0127319,Titanic Town,1998.0,nm0203882,Oliver Ford Davie,Maester Cressen
tt0127319,Titanic Town,1998.0,nm0001354,Ciarán Hind,Mance Rayder
tt0115770,The Brylcreem Boys,1998.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0140508,Resurrection Man,1998.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0119368,The Informant,1997.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0119368,The Informant,1997.0,nm0312245,Ian Gelder,Kevan Lannister
tt0119368,The Informant,1997.0,nm0641596,Jer O'Leary,Lordsport Dockhand
tt0119368,The Informant,1997.0,nm0516385,Tim Loane,White Walker
tt0116379,The Break,1997.0,nm0389698,B.J. Hogg,Addam Marbrand
tt0116379,The Break,1997.0,nm0233807,Richard Dormer,Beric Dondarrion
